id,vehicle_id,trip_id,curr_lat,curr_lon,prev_lat,prev_lon,heading,speed,curr_timestamp
113,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:25
114,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:26
115,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:27
116,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:28
117,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:29
118,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:30
119,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:31
120,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:32
121,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:33
122,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:34
123,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:35
124,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:36
125,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:37
126,2,,12.911222,77.591548,,,279,0,2014-07-23 10:41:38
127,1,,12.911223,77.591542,,,279.290009,0,2014-07-23 10:41:39
128,2,,12.911227,77.591535,,,284.220001,0,2014-07-23 10:41:40
129,1,,12.911228,77.59153,,,282.75,0,2014-07-23 10:41:41
130,2,,12.911232,77.591518,,,279.540009,0,2014-07-23 10:41:42
131,1,,12.911237,77.591517,,,286.799988,0,2014-07-23 10:41:43
132,2,,12.911238,77.59151,,,285.170013,0,2014-07-23 10:41:44
133,1,,12.91124,77.591502,,,280.540009,0,2014-07-23 10:41:45
134,2,,12.911243,77.591495,,,281.51001,0,2014-07-23 10:41:46
135,1,,12.911245,77.591492,,,280.890015,0,2014-07-23 10:41:47
136,2,,12.911247,77.591482,,,277.600006,0,2014-07-23 10:41:48
137,1,,12.911252,77.591478,,,277.609985,0,2014-07-23 10:41:49
138,2,,12.911252,77.591482,,,279.440002,0,2014-07-23 10:41:50
139,1,,12.91125,77.591475,,,271.220001,0,2014-07-23 10:41:51
140,2,,12.911247,77.591473,,,269.440002,0,2014-07-23 10:41:52
141,1,,12.91125,77.591473,,,275.290009,0,2014-07-23 10:41:53
142,2,,12.911245,77.591478,,,263.299988,0,2014-07-23 10:41:54
143,1,,12.91124,77.591482,,,252.419998,0,2014-07-23 10:41:55
144,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:41:56
145,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:41:57
146,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:41:58
147,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:41:59
148,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:00
149,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:01
150,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:02
151,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:03
152,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:04
153,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:05
154,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:06
155,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:07
156,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:08
157,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:09
158,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:10
159,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:11
160,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:12
161,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:13
162,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:14
163,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:15
164,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:16
165,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:17
166,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:18
167,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:19
168,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:20
169,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:21
170,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:22
171,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:23
172,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:24
173,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:25
174,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:26
175,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:27
176,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:28
177,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:29
178,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:30
179,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:31
180,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:32
181,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:33
182,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:34
183,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:35
184,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:36
185,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:37
186,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:38
187,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:39
188,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:40
189,1,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:41
190,2,,12.911233,77.591485,,,239.850006,0,2014-07-23 10:42:42
191,1,,12.911208,77.591573,,,237.339996,0,2014-07-23 10:42:43
192,2,,12.911207,77.591578,,,237.339996,0,2014-07-23 10:42:44
193,1,,12.91121,77.591585,,,237.339996,0,2014-07-23 10:42:45
194,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:46
195,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:47
196,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:48
197,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:49
198,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:50
199,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:51
200,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:52
201,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:53
202,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:54
203,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:55
204,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:56
205,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:57
206,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:58
207,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:42:59
208,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:00
209,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:01
210,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:02
211,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:03
212,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:04
213,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:05
214,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:06
215,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:07
216,2,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:08
217,1,,12.911205,77.591573,,,237.339996,0,2014-07-23 10:43:09
218,2,,12.911248,77.591655,,,85.93,0,2014-07-23 10:43:10
219,1,,12.911247,77.591648,,,85.93,0,2014-07-23 10:43:11
220,2,,12.911247,77.591648,,,85.93,0,2014-07-23 10:43:12
221,1,,12.911245,77.591652,,,85.93,0,2014-07-23 10:43:13
222,2,,12.911245,77.591652,,,85.93,0,2014-07-23 10:43:14
223,1,,12.911245,77.591652,,,85.93,0,2014-07-23 10:43:15
224,2,,12.911245,77.591652,,,85.93,0,2014-07-23 10:43:16
225,1,,12.911245,77.591652,,,85.93,0,2014-07-23 10:43:17
226,2,,12.911245,77.591652,,,85.93,0,2014-07-23 10:43:18
227,1,,12.911245,77.591652,,,85.93,0,2014-07-23 10:43:19
